"product_key","segment","color","package_group","offers_available","farba_dekart_brand","farba_dekart_store","farba_dekart_package_kg","farba_dekart_regular_price","farba_dekart_unit_price_per_kg","farba_dekart_in_stock","farba_farbex_brand","farba_farbex_store","farba_farbex_package_kg","farba_farbex_regular_price","farba_farbex_unit_price_per_kg","farba_farbex_in_stock","farba_zebra_master_brand","farba_zebra_master_store","farba_zebra_master_package_kg","farba_zebra_master_regular_price","farba_zebra_master_unit_price_per_kg","farba_zebra_master_in_stock","lursan_fazenda_brand","lursan_fazenda_store","lursan_fazenda_package_kg","lursan_fazenda_regular_price","lursan_fazenda_unit_price_per_kg","lursan_fazenda_in_stock","lursan_korabelnaya_brand","lursan_korabelnaya_store","lursan_korabelnaya_package_kg","lursan_korabelnaya_regular_price","lursan_korabelnaya_unit_price_per_kg","lursan_korabelnaya_in_stock","mirremonta_dekart_brand","mirremonta_dekart_store","mirremonta_dekart_package_kg","mirremonta_dekart_regular_price","mirremonta_dekart_unit_price_per_kg","mirremonta_dekart_in_stock","mirremonta_farbex_brand","mirremonta_farbex_store","mirremonta_farbex_package_kg","mirremonta_farbex_regular_price","mirremonta_farbex_unit_price_per_kg","mirremonta_farbex_in_stock","best_offer","best_store","best_brand","best_package_kg","best_price","best_unit_price_per_kg","max_unit_saving","max_unit_saving_percent"
"pf115_economy","economy","Шоколадный","large","2","DekArt","farba.md","2.8","102,90","36,75","True","","","","","","","","","","","","","","","","","","","","","","","","","DekArt","mirremonta.md","2.8","130","46,4286","True","","","","","","","farba_dekart","farba.md","DekArt","2.8","102,90","36,75","9,6786","20,85"
"pf115_economy","economy","Ярко-голубой","large","3","DekArt","farba.md","2.8","102,90","36,75","True","","","","","","","","","","","","","Fazenda","lursan.com","2.8","99,5","35,5357","True","","","","","","","DekArt","mirremonta.md","2.8","135","48,2143","True","","","","","","","lursan_fazenda","lursan.com","Fazenda","2.8","99,5","35,5357","12,6786","26,30"
"pf115_economy","economy","Ярко-зелёный","large","2","DekArt","farba.md","2.8","102,90","36,75","True","","","","","","","","","","","","","","","","","","","","","","","","","DekArt","mirremonta.md","2.8","138","49,2857","True","","","","","","","farba_dekart","farba.md","DekArt","2.8","102,90","36,75","12,5357","25,43"
"pf115_economy","economy","Бежевый","small","2","DekArt","farba.md","0.9","39,90","44,3333","True","","","","","","","","","","","","","","","","","","","","","","","","","DekArt","mirremonta.md","0.9","46","51,1111","True","","","","","","","farba_dekart","farba.md","DekArt","0.9","39,90","44,3333","6,7778","13,26"
"pf115_economy","economy","Белый","small","3","DekArt","farba.md","0.9","40,90","45,4444","True","","","","","","","","","","","","","Fazenda","lursan.com","0.9","41","45,5556","True","","","","","","","DekArt","mirremonta.md","0.9","47","52,2222","True","","","","","","","farba_dekart","farba.md","DekArt","0.9","40,90","45,4444","6,7778","12,98"
"pf115_economy","economy","Бирюзовый","small","1","","","","","","","","","","","","","","","","","","","Fazenda","lursan.com","0.9","39","43,3333","True","","","","","","","","","","","","","","","","","","","lursan_fazenda","lursan.com","Fazenda","0.9","39","43,3333",,
"pf115_economy","economy","Вишневый","small","3","DekArt","farba.md","0.9","39,90","44,3333","True","","","","","","","","","","","","","Fazenda","lursan.com","0.9","39","43,3333","True","","","","","","","DekArt","mirremonta.md","0.9","47","52,2222","True","","","","","","","lursan_fazenda","lursan.com","Fazenda","0.9","39","43,3333","8,8889","17,02"
"pf115_economy","economy","Голубой","small","3","DekArt","farba.md","0.9","39,90","44,3333","True","","","","","","","","","","","","","Fazenda","lursan.com","0.9","39","43,3333","True","","","","","","","DekArt","mirremonta.md","0.9","48","53,3333","True","","","","","","","lursan_fazenda","lursan.com","Fazenda","0.9","39","43,3333","10,0000","18,75"
"pf115_economy","economy","Желто-коричневый","small","3","DekArt","farba.md","0.9","39,90","44,3333","True","","","","","","","","","","","","","Fazenda","lursan.com","0.9","39","43,3333","True","","","","","","","DekArt","mirremonta.md","0.9","48","53,3333","True","","","","","","","lursan_fazenda","lursan.com","Fazenda","0.9","39","43,3333","10,0000","18,75"
"pf115_economy","economy","Желтый","small","3","DekArt","farba.md","0.9","39,90","44,3333","True","","","","","","","","","","","","","Fazenda","lursan.com","0.9","39","43,3333","True","","","","","","","DekArt","mirremonta.md","0.9","49","54,4444","True","","","","","","","lursan_fazenda","lursan.com","Fazenda","0.9","39","43,3333","11,1111","20,41"
"pf115_economy","economy","Зелёный","small","3","DekArt","farba.md","0.9","39,90","44,3333","True","","","","","","","","","","","","","Fazenda","lursan.com","0.9","39","43,3333","True","","","","","","","DekArt","mirremonta.md","0.9","47","52,2222","True","","","","","","","lursan_fazenda","lursan.com","Fazenda","0.9","39","43,3333","8,8889","17,02"
"pf115_economy","economy","Изумрудный","small","1","","","","","","","","","","","","","","","","","","","Fazenda","lursan.com","0.9","39","43,3333","True","","","","","","","","","","","","","","","","","","","lursan_fazenda","lursan.com","Fazenda","0.9","39","43,3333",,
"pf115_economy","economy","Коричневый","small","3","DekArt","farba.md","0.9","39,90","44,3333","True","","","","","","","","","","","","","Fazenda","lursan.com","0.9","39","43,3333","True","","","","","","","DekArt","mirremonta.md","0.9","48","53,3333","True","","","","","","","lursan_fazenda","lursan.com","Fazenda","0.9","39","43,3333","10,0000","18,75"
"pf115_economy","economy","Красно-коричневый","small","3","DekArt","farba.md","0.9","39,90","44,3333","True","","","","","","","","","","","","","Fazenda","lursan.com","0.9","39","43,3333","True","","","","","","","DekArt","mirremonta.md","0.9","45","50","True","","","","","","","lursan_fazenda","lursan.com","Fazenda","0.9","39","43,3333","6,6667","13,33"
"pf115_economy","economy","Красный","small","3","DekArt","farba.md","0.9","39,90","44,3333","True","","","","","","","","","","","","","Fazenda","lursan.com","0.9","39","43,3333","True","","","","","","","DekArt","mirremonta.md","0.9","50","55,5556","True","","","","","","","lursan_fazenda","lursan.com","Fazenda","0.9","39","43,3333","12,2223","22,00"
"pf115_economy","economy","Светло-голубой","small","1","","","","","","","","","","","","","","","","","","","Fazenda","lursan.com","0.9","39","43,3333","True","","","","","","","","","","","","","","","","","","","lursan_fazenda","lursan.com","Fazenda","0.9","39","43,3333",,
"pf115_economy","economy","Светло-зелёный","small","3","DekArt","farba.md","0.9","39,90","44,3333","True","","","","","","","","","","","","","Fazenda","lursan.com","0.9","39","43,3333","True","","","","","","","DekArt","mirremonta.md","0.9","48","53,3333","True","","","","","","","lursan_fazenda","lursan.com","Fazenda","0.9","39","43,3333","10,0000","18,75"
"pf115_economy","economy","Светло-серый","small","3","DekArt","farba.md","0.9","39,90","44,3333","True","","","","","","","","","","","","","Fazenda","lursan.com","0.9","39","43,3333","True","","","","","","","DekArt","mirremonta.md","0.9","48","53,3333","True","","","","","","","lursan_fazenda","lursan.com","Fazenda","0.9","39","43,3333","10,0000","18,75"
"pf115_economy","economy","Серый","small","3","DekArt","farba.md","0.9","39,90","44,3333","True","","","","","","","","","","","","","Fazenda","lursan.com","0.9","39","43,3333","True","","","","","","","DekArt","mirremonta.md","0.9","42","46,6667","True","","","","","","","lursan_fazenda","lursan.com","Fazenda","0.9","39","43,3333","3,3334","7,14"
"pf115_economy","economy","Синий","small","3","DekArt","farba.md","0.9","39,90","44,3333","True","","","","","","","","","","","","","Fazenda","lursan.com","0.9","39","43,3333","True","","","","","","","DekArt","mirremonta.md","0.9","49","54,4444","True","","","","","","","lursan_fazenda","lursan.com","Fazenda","0.9","39","43,3333","11,1111","20,41"
"pf115_economy","economy","Темно-зелёный","small","2","DekArt","farba.md","0.9","39,90","44,3333","True","","","","","","","","","","","","","","","","","","","","","","","","","DekArt","mirremonta.md","0.9","39","43,3333","True","","","","","","","mirremonta_dekart","mirremonta.md","DekArt","0.9","39","43,3333","1,0000","2,26"
"pf115_economy","economy","Темно-серый","small","3","DekArt","farba.md","0.9","39,90","44,3333","True","","","","","","","","","","","","","Fazenda","lursan.com","0.9","39","43,3333","True","","","","","","","DekArt","mirremonta.md","0.9","48","53,3333","True","","","","","","","lursan_fazenda","lursan.com","Fazenda","0.9","39","43,3333","10,0000","18,75"
"pf115_economy","economy","Черный","small","3","DekArt","farba.md","0.9","39,90","44,3333","True","","","","","","","","","","","","","Fazenda","lursan.com","0.9","39","43,3333","True","","","","","","","DekArt","mirremonta.md","0.9","45","50","True","","","","","","","lursan_fazenda","lursan.com","Fazenda","0.9","39","43,3333","6,6667","13,33"
"pf115_economy","economy","Шоколадный","small","2","DekArt","farba.md","0.9","39,90","44,3333","True","","","","","","","","","","","","","","","","","","","","","","","","","DekArt","mirremonta.md","0.9","46","51,1111","True","","","","","","","farba_dekart","farba.md","DekArt","0.9","39,90","44,3333","6,7778","13,26"
