"product_key","segment","color","package_group","rank","offer_key","store","brand","package_kg","regular_price","promo_price","unit_price_per_kg","in_stock","url"
"pf115_economy","economy","Изумрудный","small","1","lursan_fazenda","lursan.com","Fazenda","0.9","39",,"43.3333","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=10974"
"pf115_economy","economy","Коричневый","small","1","lursan_fazenda","lursan.com","Fazenda","0.9","39",,"43.3333","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11026"
"pf115_economy","economy","Коричневый","small","2","farba_dekart","farba.md","DekArt","0.9","39.90","38.30","44.3333","True","https://farba.md/dekart--jemal-pph-115-korichnevaja-09-up6sht.html"
"pf115_economy","economy","Коричневый","small","3","mirremonta_dekart","mirremonta.md","DekArt","0.9","48",,"53.3333","True","https://mirremonta.md/catalog/35644"
"pf115_economy","economy","Красно-коричневый","small","1","lursan_fazenda","lursan.com","Fazenda","0.9","39",,"43.3333","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11130"
"pf115_economy","economy","Красно-коричневый","small","2","farba_dekart","farba.md","DekArt","0.9","39.90","38.30","44.3333","True","https://farba.md/dekart--jemal-pph-115-krasno-korichnevaja-09-up6sht.html"
"pf115_economy","economy","Красно-коричневый","small","3","mirremonta_dekart","mirremonta.md","DekArt","0.9","45",,"50","True","https://mirremonta.md/catalog/35644"
"pf115_economy","economy","Красный","small","1","lursan_fazenda","lursan.com","Fazenda","0.9","39",,"43.3333","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11128"
"pf115_economy","economy","Красный","small","2","farba_dekart","farba.md","DekArt","0.9","39.90","38.30","44.3333","True","https://farba.md/dekart--jemal-pph-115-krasnaja-09-up6sht.html"
"pf115_economy","economy","Красный","small","3","mirremonta_dekart","mirremonta.md","DekArt","0.9","50",,"55.5556","True","https://mirremonta.md/catalog/35644"
"pf115_economy","economy","Светло-голубой","small","1","lursan_fazenda","lursan.com","Fazenda","0.9","39",,"43.3333","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11207"
"pf115_economy","economy","Светло-зелёный","small","1","lursan_fazenda","lursan.com","Fazenda","0.9","39",,"43.3333","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11212"
"pf115_economy","economy","Светло-зелёный","small","2","farba_dekart","farba.md","DekArt","0.9","39.90","38.30","44.3333","True","https://farba.md/dekart--jemal-pph-115-svetlo-zelenaja-09-up6sht.html"
"pf115_economy","economy","Светло-зелёный","small","3","mirremonta_dekart","mirremonta.md","DekArt","0.9","48",,"53.3333","True","https://mirremonta.md/catalog/35644"
"pf115_economy","economy","Светло-серый","small","1","lursan_fazenda","lursan.com","Fazenda","0.9","39",,"43.3333","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11217"
"pf115_economy","economy","Светло-серый","small","2","farba_dekart","farba.md","DekArt","0.9","39.90","38.30","44.3333","True","https://farba.md/dekart--jemal-pph-115-svetlo-seraja-09-up6sht.html"
"pf115_economy","economy","Светло-серый","small","3","mirremonta_dekart","mirremonta.md","DekArt","0.9","48",,"53.3333","True","https://mirremonta.md/catalog/35644"
"pf115_economy","economy","Серый","small","1","lursan_fazenda","lursan.com","Fazenda","0.9","39",,"43.3333","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11221"
"pf115_economy","economy","Серый","small","2","farba_dekart","farba.md","DekArt","0.9","39.90","38.30","44.3333","True","https://farba.md/dekart--jemal-pph-115-seraja-09-up6sht.html"
"pf115_economy","economy","Серый","small","3","mirremonta_dekart","mirremonta.md","DekArt","0.9","42",,"46.6667","True","https://mirremonta.md/catalog/35644"
"pf115_economy","economy","Синий","small","1","lursan_fazenda","lursan.com","Fazenda","0.9","39",,"43.3333","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11231"
"pf115_economy","economy","Синий","small","2","farba_dekart","farba.md","DekArt","0.9","39.90","38.30","44.3333","True","https://farba.md/dekart--jemal-pph-115-sinjaja-09-up6sht.html"
"pf115_economy","economy","Синий","small","3","mirremonta_dekart","mirremonta.md","DekArt","0.9","49",,"54.4444","True","https://mirremonta.md/catalog/35644"
"pf115_economy","economy","Темно-зелёный","small","1","mirremonta_dekart","mirremonta.md","DekArt","0.9","39",,"43.3333","True","https://mirremonta.md/catalog/35644"
"pf115_economy","economy","Темно-зелёный","small","2","farba_dekart","farba.md","DekArt","0.9","39.90","38.30","44.3333","True","https://farba.md/dekart--jemal-pph-115-temno-zelenaja-09-up6sht.html"
