"collected_at","product_key","segment","offer_key","store","brand","product","color_raw","color_normalized","package_kg","package_group","regular_price","promo_price","analysis_price","unit_price_per_kg","currency","in_stock","sku","article","variant_id","url"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","светло-зеленая","Светло-зелёный","0.9","small","39.90","38.30","39.90","44.3333","PRB","True","ЦБ000496291","","121491","https://farba.md/dekart--jemal-pph-115-svetlo-zelenaja-09-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","светло-серая","Светло-серый","0.9","small","39.90","38.30","39.90","44.3333","PRB","True","ЦБ000496789","","121493","https://farba.md/dekart--jemal-pph-115-svetlo-seraja-09-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","серая","Серый","0.9","small","39.90","38.30","39.90","44.3333","PRB","True","ЦБ000496293","","121501","https://farba.md/dekart--jemal-pph-115-seraja-09-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","синяя","Синий","0.9","small","39.90","38.30","39.90","44.3333","PRB","True","ЦБ000496295","","121497","https://farba.md/dekart--jemal-pph-115-sinjaja-09-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","темно-зеленая","Темно-зелёный","0.9","small","39.90","38.30","39.90","44.3333","PRB","True","ЦБ000496297","","121499","https://farba.md/dekart--jemal-pph-115-temno-zelenaja-09-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","темно-серая","Темно-серый","0.9","small","39.90","38.30","39.90","44.3333","PRB","True","ЦБ000496299","","121501","https://farba.md/dekart--jemal-pph-115-temno-seraja-09-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","черная","Черный","0.9","small","39.90","38.30","39.90","44.3333","PRB","True","ЦБ000496301","","121503","https://farba.md/dekart--jemal-pph-115-chernaja-09-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","шоколадная","Шоколадный","0.9","small","39.90","38.30","39.90","44.3333","PRB","True","ЦБ000496303","","121506","https://farba.md/dekart--jemal-pph-115-shokoladnaja09-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","ярко-голубая","Ярко-голубой","0.9","small","39.90","38.30","39.90","44.3333","PRB","True","ЦБ000496305","","121508","https://farba.md/dekart--jemal-pph-115-jarko-golubaja-09-up6sht.html"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","farba_dekart","farba.md","DekArt","Эмаль ПФ-115","ярко-зеленая","Ярко-зелёный","0.9","small","39.90","38.30","39.90","44.3333","PRB","True","ЦБ000496307","","121510","https://farba.md/dekart--jemal-pph-115-jarko-zelenaja-09-up6sht.html"
